EmployeeID,Age,Department,JobRole,MonthlyIncome,JobSatisfaction,WorkLifeBalance,OverTime,YearsAtCompany,EducationField,PerformanceRating,NumCompaniesWorked,DistanceFromHome,Attrition
1,27,Human Resources,Human Resources,21626,1,1,No,11,Technical Degree,3,2,24,Yes
2,54,Research & Development,Manager,21309,2,4,No,2,Other,3,9,4,Yes
3,33,Research & Development,Manager,58230,1,3,No,3,Other,2,0,27,No
4,18,Sales,Laboratory Technician,51908,3,4,No,14,Marketing,1,1,23,No
5,46,Research & Development,Research Scientist,79437,4,4,No,9,Other,1,2,23,No
6,43,Sales,Human Resources,70535,4,4,No,17,Technical Degree,1,1,7,No
7,47,Sales,Manufacturing Director,17057,3,3,Yes,13,Technical Degree,2,4,11,Yes
8,47,Sales,Manufacturing Director,14618,4,2,No,5,Marketing,2,5,22,Yes
9,26,Sales,Laboratory Technician,15258,3,2,No,17,Medical,4,5,19,No
10,27,Research & Development,Manager,47399,1,1,Yes,2,Medical,4,4,20,Yes
11,18,Research & Development,Manager,62222,1,1,No,9,Marketing,2,0,25,Yes
12,58,Research & Development,Manufacturing Director,23519,1,3,No,5,Other,1,3,20,Yes
13,54,Research & Development,Research Scientist,63699,2,2,Yes,0,Marketing,1,0,29,Yes
14,34,Research & Development,Laboratory Technician,79564,2,1,Yes,2,Other,3,1,5,Yes
15,54,Sales,Manufacturing Director,76540,2,1,No,17,Life Sciences,2,0,8,Yes
16,29,Sales,Human Resources,37635,3,2,No,0,Medical,1,8,7,No
17,42,Research & Development,Research Scientist,77362,2,2,Yes,16,Medical,2,9,2,Yes
18,51,Human Resources,Manufacturing Director,21483,4,2,No,7,Life Sciences,4,5,27,Yes
19,26,Research & Development,Laboratory Technician,69788,1,4,Yes,8,Medical,2,9,6,Yes
20,54,Sales,Human Resources,54046,3,1,No,7,Other,4,8,20,No
21,32,Research & Development,Human Resources,38394,3,1,Yes,12,Life Sciences,3,8,22,Yes
22,31,Human Resources,Laboratory Technician,65900,2,4,No,1,Life Sciences,2,2,6,No
23,23,Sales,Laboratory Technician,65692,3,3,No,12,Medical,2,0,8,No
24,31,Research & Development,Manufacturing Director,51297,4,3,No,4,Technical Degree,3,8,11,No
25,43,Sales,Human Resources,29357,1,2,No,17,Life Sciences,4,9,8,Yes
26,31,Research & Development,Human Resources,19892,1,3,No,8,Life Sciences,4,5,11,Yes
27,46,Research & Development,Manager,72564,4,2,Yes,2,Marketing,3,9,17,Yes
28,40,Sales,Manufacturing Director,70648,4,3,No,18,Life Sciences,4,6,13,No
29,48,Sales,Laboratory Technician,77753,4,3,Yes,16,Life Sciences,1,4,13,No
30,48,Human Resources,Sales Executive,57658,2,3,No,10,Other,1,2,10,No
31,43,Research & Development,Manufacturing Director,16359,3,1,Yes,12,Life Sciences,2,2,28,Yes
32,30,Sales,Sales Executive,57552,1,3,Yes,18,Medical,1,4,13,Yes
33,19,Human Resources,Sales Executive,69895,4,3,No,13,Medical,1,5,18,No
34,49,Sales,Human Resources,32056,2,3,No,14,Marketing,2,6,14,No
35,54,Sales,Manager,52535,4,1,No,10,Marketing,2,1,13,No
36,45,Sales,Manufacturing Director,44443,1,3,Yes,0,Technical Degree,3,3,23,Yes
37,36,Sales,Manager,49300,2,2,Yes,0,Life Sciences,2,3,17,Yes
38,47,Sales,Laboratory Technician,69291,3,4,No,9,Marketing,3,4,4,No
39,31,Sales,Sales Executive,62655,1,3,Yes,6,Other,4,9,16,Yes
40,40,Sales,Sales Executive,67219,1,2,No,7,Life Sciences,4,6,27,Yes
41,41,Research & Development,Human Resources,46521,2,1,No,16,Marketing,1,4,9,Yes
42,48,Human Resources,Research Scientist,62398,1,1,No,8,Technical Degree,2,3,24,Yes
43,29,Research & Development,Laboratory Technician,64920,3,3,No,0,Life Sciences,1,7,2,No
44,46,Research & Development,Sales Executive,71067,2,1,Yes,10,Medical,2,8,8,Yes
45,28,Research & Development,Research Scientist,50254,4,3,No,3,Life Sciences,2,8,5,No
46,42,Research & Development,Manager,62393,1,4,No,11,Medical,3,8,17,No
47,27,Research & Development,Human Resources,13292,2,1,No,3,Life Sciences,3,9,20,Yes
48,33,Sales,Laboratory Technician,58640,2,1,Yes,19,Other,1,8,3,Yes
49,36,Sales,Sales Executive,56309,1,4,No,9,Other,4,9,27,No
50,34,Sales,Manager,41864,1,2,No,9,Life Sciences,1,9,18,Yes
51,25,Research & Development,Manufacturing Director,69813,1,4,No,8,Life Sciences,4,8,5,No
52,42,Sales,Human Resources,50852,3,4,No,13,Technical Degree,4,9,20,No
53,29,Research & Development,Manufacturing Director,58978,2,3,No,3,Life Sciences,2,2,25,No
54,35,Sales,Human Resources,60043,4,2,No,7,Marketing,2,5,3,No
55,25,Human Resources,Manufacturing Director,23815,3,3,No,14,Life Sciences,3,0,3,No
56,29,Human Resources,Manufacturing Director,60115,4,4,No,19,Technical Degree,3,8,9,No
57,46,Research & Development,Sales Executive,77183,3,1,Yes,19,Other,1,7,16,Yes
58,51,Human Resources,Manufacturing Director,68088,2,4,No,12,Technical Degree,2,2,4,No
59,38,Sales,Manager,24121,4,3,No,4,Life Sciences,4,8,15,No
60,50,Sales,Manufacturing Director,23829,3,4,No,15,Other,4,0,12,No
61,42,Research & Development,Research Scientist,75004,4,1,Yes,1,Life Sciences,3,8,20,Yes
62,23,Sales,Laboratory Technician,19960,1,2,Yes,0,Other,1,6,6,Yes
63,22,Research & Development,Laboratory Technician,67161,4,3,Yes,14,Technical Degree,3,6,20,No
64,25,Research & Development,Manufacturing Director,32312,2,1,No,3,Other,2,5,24,Yes
65,42,Sales,Research Scientist,69877,4,4,No,5,Marketing,3,2,13,No
66,42,Sales,Human Resources,11100,1,2,No,15,Technical Degree,3,2,1,Yes
67,52,Research & Development,Manager,41054,3,1,No,8,Medical,3,2,22,No
68,58,Sales,Manufacturing Director,76805,4,3,No,1,Other,1,5,7,No
69,33,Sales,Manufacturing Director,16759,1,1,No,2,Marketing,3,2,17,Yes
70,31,Sales,Manager,17150,3,4,Yes,18,Other,1,0,17,Yes
71,42,Sales,Human Resources,29772,2,2,Yes,14,Life Sciences,3,4,29,Yes
72,33,Human Resources,Manufacturing Director,27154,4,1,Yes,2,Marketing,1,6,20,Yes
73,24,Human Resources,Research Scientist,11608,1,4,No,16,Technical Degree,1,2,21,Yes
74,39,Research & Development,Manager,50797,2,2,No,12,Medical,1,1,28,Yes
75,40,Research & Development,Manufacturing Director,58203,1,3,No,19,Life Sciences,2,1,27,No
76,29,Research & Development,Sales Executive,46776,2,3,No,5,Marketing,2,6,10,No
77,30,Human Resources,Manager,77268,4,2,Yes,9,Other,3,6,5,Yes
78,46,Sales,Human Resources,28850,3,2,No,10,Life Sciences,2,7,7,No
79,50,Sales,Manufacturing Director,36280,2,1,No,7,Technical Degree,3,4,29,Yes
80,33,Sales,Research Scientist,11973,1,2,No,18,Technical Degree,3,9,17,Yes
81,58,Sales,Laboratory Technician,55566,4,4,Yes,6,Technical Degree,1,3,2,No
82,51,Human Resources,Human Resources,32760,4,1,No,9,Life Sciences,3,7,26,No
83,58,Research & Development,Research Scientist,58745,3,3,No,13,Marketing,3,6,20,No
84,43,Sales,Manufacturing Director,54659,3,1,Yes,19,Technical Degree,2,9,16,Yes
85,27,Research & Development,Research Scientist,29431,3,2,No,1,Technical Degree,2,5,9,No
86,55,Human Resources,Manager,41710,1,2,No,17,Technical Degree,1,9,22,Yes
87,18,Research & Development,Human Resources,61194,1,1,No,5,Other,2,0,12,Yes
88,36,Research & Development,Research Scientist,40545,3,2,No,11,Medical,3,7,5,No
89,41,Research & Development,Manager,43907,3,4,No,7,Marketing,3,9,9,No
90,21,Sales,Manager,68743,1,1,No,5,Medical,4,0,13,Yes
91,47,Human Resources,Laboratory Technician,38418,1,1,Yes,3,Marketing,1,8,18,Yes
92,34,Sales,Research Scientist,40314,2,1,Yes,8,Other,3,8,22,Yes
93,38,Sales,Human Resources,69839,4,3,No,8,Medical,4,5,2,No
94,36,Research & Development,Research Scientist,65273,1,2,No,14,Medical,3,3,15,Yes
95,32,Research & Development,Manager,64385,1,3,Yes,1,Other,1,0,27,Yes
96,33,Sales,Laboratory Technician,39799,1,2,No,19,Technical Degree,1,5,20,Yes
97,35,Sales,Research Scientist,34170,1,4,No,16,Marketing,3,4,19,No
98,43,Research & Development,Manufacturing Director,53219,1,2,Yes,1,Other,3,4,20,Yes
99,35,Sales,Manufacturing Director,59259,1,1,No,14,Life Sciences,2,7,18,Yes
100,50,Research & Development,Laboratory Technician,32979,1,4,Yes,10,Technical Degree,2,6,9,Yes
101,35,Research & Development,Manufacturing Director,41915,3,4,Yes,4,Life Sciences,2,0,10,No
102,59,Sales,Sales Executive,65552,1,3,No,13,Other,1,5,27,No
103,34,Human Resources,Sales Executive,17810,4,1,No,3,Technical Degree,4,8,10,No
104,59,Research & Development,Laboratory Technician,27432,3,3,Yes,10,Technical Degree,3,7,15,No
105,44,Human Resources,Human Resources,71652,4,2,No,14,Technical Degree,4,8,6,No
106,30,Research & Development,Manager,31921,4,2,Yes,15,Life Sciences,1,0,15,Yes
107,48,Research & Development,Laboratory Technician,50571,3,4,No,0,Technical Degree,4,8,15,No
108,35,Sales,Sales Executive,33035,4,3,No,5,Technical Degree,3,4,24,No
109,35,Research & Development,Laboratory Technician,54094,2,3,No,19,Technical Degree,4,7,6,No
110,34,Sales,Sales Executive,60393,4,2,No,11,Life Sciences,4,3,14,No
111,18,Research & Development,Manufacturing Director,15935,1,1,No,8,Other,2,4,21,Yes
112,49,Sales,Sales Executive,57306,1,1,No,14,Marketing,1,7,25,Yes
113,55,Sales,Laboratory Technician,58088,4,4,No,5,Technical Degree,1,8,20,No
114,27,Sales,Sales Executive,77068,3,2,No,12,Other,4,9,14,No
115,18,Sales,Laboratory Technician,72950,3,2,No,18,Marketing,2,3,16,No
116,56,Research & Development,Research Scientist,53986,1,1,No,2,Medical,2,2,4,Yes
117,40,Sales,Research Scientist,52678,1,4,Yes,3,Marketing,4,7,3,Yes
118,50,Human Resources,Manager,69283,1,3,No,4,Technical Degree,2,0,17,No
119,20,Sales,Manufacturing Director,51515,4,2,No,7,Marketing,2,4,3,No
120,21,Sales,Sales Executive,25931,1,4,No,12,Medical,2,2,4,No
121,49,Human Resources,Research Scientist,71964,1,2,No,0,Other,3,2,12,Yes
122,53,Research & Development,Manager,76903,3,3,No,19,Technical Degree,2,3,11,No
123,45,Human Resources,Research Scientist,74815,3,1,No,7,Life Sciences,1,1,6,No
124,36,Sales,Manufacturing Director,56842,4,4,No,9,Other,4,7,3,No
125,31,Sales,Sales Executive,34653,2,3,No,10,Technical Degree,1,2,17,No
126,47,Human Resources,Laboratory Technician,30735,4,1,No,16,Technical Degree,2,1,14,No
127,29,Human Resources,Sales Executive,73158,3,3,Yes,8,Medical,4,5,8,No
128,40,Human Resources,Research Scientist,37376,1,1,No,15,Marketing,2,4,1,Yes
129,55,Research & Development,Laboratory Technician,40686,2,1,Yes,3,Medical,2,6,25,Yes
130,29,Sales,Manufacturing Director,58017,2,4,Yes,8,Marketing,1,6,26,Yes
